catagory,type,sample,temperature
manmade,metal,aluminum_1,294.5
manmade,metal,aluminum_2,340.2
manmade,metal,aluminum_3,316.9
manmade,metal,aluminum_foil_1,290.4
manmade,metal,black_matte_metal_1,316.7
manmade,metal,black_matte_metal_2,334.6
manmade,metal,corrugated_metal_1,299.3
manmade,metal,corrugated_metal_2,319.2
manmade,metal,corrugated_metal_3,317.6
manmade,metal,iron_plate_1,312.7
manmade,metal,polished_metal_1,298.5
manmade,metal,polished_metal_2,299.8
manmade,metal,semi_polshed_metal_1,334.4
manmade,metal,semi_polshed_metal_2,330.2
manmade,other,green_paint_1,294.3
manmade,other,posterboard_1,300.2
manmade,other,posterboard_2,301.1
manmade,other,posterboard_3,294.2
manmade,other,posterboard_4,295.6
manmade,other,roofing_rubber_1,326.8
manmade,other,roofing_rubber_2,319.5
manmade,other,silicon_rubber_1,323.1
manmade,other,silicon_rubber_2,329.2
manmade,other,silicon_rubber_3,298.0
manmade,other,styrofoam_1,328.5
manmade,other,tan_paint_1,290.9
manmade,textile,black_plastic_1,295.7
manmade,textile,black_plastic_2,303.2
manmade,textile,black_plastic_3,321.4
manmade,textile,black_plastic_4,324.3
manmade,textile,black_silt_screen_1,299.0
manmade,textile,black_silt_screen_2,319.1
manmade,textile,black_silt_screen_dull_1,299.6
manmade,textile,black_silt_screen_shiny_1,303.6
manmade,textile,black_speaker_cloth_1,306.9
manmade,textile,blue_tarp_1,318.0
manmade,textile,blue_tarp_2,309.3
manmade,textile,blue_tarp_3,301.7
manmade,textile,blue_tarp_dew_1,293.9
manmade,textile,burlap_1,299.7
manmade,textile,camo_canvas_1,317.7
manmade,textile,camo_canvas_2,309.2
manmade,textile,fall_woodland_camo_1,299.2
manmade,textile,fall_woodland_camo_2,299.7
manmade,textile,green_canvas_1,311.2
manmade,textile,green_canvas_2,307.7
manmade,textile,green_cotton_1,285.1
manmade,textile,green_kevlar_1,288.1
manmade,textile,green_nylon_1,283.4
manmade,textile,nylon_poncho_1,312.1
manmade,textile,nylon_poncho_2,309.4
manmade,textile,tyvek_1,299.1
manmade,textile,white_drop_cloth_1,323.8
manmade,textile,white_drop_cloth_2,306.0
manmade,textile,white_drop_cloth_3,300.8
manmade,textile,white_drop_cloth_4,294.4
manmade,textile,white_drop_cloth_5,300.4
manmade,textile,white_polyester_1,305.1
manmade,textile,white_polyester_2,303.6
manmade,textile,white_polyester_3,296.7
manmade,textile,woven_monofilament_netting_1,300.7
manmade,textile,yellow_canvas_1,300.4
manmade,wood,plywood_1,307.3
manmade,wood,plywood_2,309.1
natural,geologic,anthracite_coal_1,320.1
natural,geologic,bituminous_coal_1,315.8
natural,geologic,concrete_1,311.7
natural,geologic,concrete_2,306.0
natural,geologic,dolomite_1,300.8
natural,geologic,dolomitic_limestone_1,295.0
natural,geologic,dolomitic_limestone_2,326.7
natural,geologic,lignite_coal_1,313.6
natural,geologic,limestone_1,309.4
natural,geologic,marble_chips_1,308.4
natural,geologic,marble_chips_2,300.7
natural,geologic,marble_chips_3,298.2
natural,geologic,quartzite_1,312.6
natural,geologic,sub_bituminous_coal_1,327.9
natural,other,human_skin_1,308.0
natural,other,ice_water_1,271.5
natural,other,ice_water_2,271.3
natural,other,water_1,297.2
natural,soil,background_soil_1,310.4
natural,soil,background_soil_2,300.3
natural,soil,background_soil_dew_1,294.6
natural,soil,background_soil_wet_1,296.4
natural,soil,coarse_sand_1,321.8
natural,soil,coarse_sand_oil_1,321.9
natural,soil,fine_sand_1,316.7
natural,soil,fine_sand_oil_1,320.3
natural,soil,fine_silt_1,318.6
natural,soil,gravel_1,325.9
natural,soil,gravel_2,299.4
natural,soil,gravel_3,320.2
natural,soil,loose_road_1,311.8
natural,soil,loose_road_2,314.6
natural,soil,play_sand_1,312.4
natural,soil,play_sand_2,316.7
natural,soil,play_sand_3,309.8
natural,soil,play_sand_4,302.7
natural,soil,playa_1,288.7
natural,soil,playa_2,296.0
natural,soil,playa_3,297.0
natural,soil,playa_4,297.9
natural,soil,quartz_sand_1,287.8
natural,soil,road_1,331.7
natural,soil,road_2,314.2
natural,soil,road_3,310.0
natural,soil,road_4,299.2
natural,soil,road_5,309.3
natural,soil,road_6,309.9
natural,soil,road_7,306.7
natural,soil,sand_2,327.9
natural,soil,sand_3,311.3
natural,soil,sand_4,313.3
natural,soil,tuft_fresh_1,297.6
natural,soil,tuft_weathered_1,303.6
natural,soils,sand_1,313.8
natural,vegetation,bush_1,303.7
natural,vegetation,canopy_debris_1,294.7
natural,vegetation,canopy_debris_dew_1,294.8
natural,vegetation,grass_1,323.7
natural,vegetation,grass_dew_1,295.9
natural,vegetation,ironwood_needles_1,296.9
natural,vegetation,plants_1,295.0
natural,vegetation,plants_dew_1,294.4
natural,vegetation,waxy_leaf_1,299.2
