catagory,type,sample,temperature
manmade,metal,aluminum_1,360.9
manmade,metal,aluminum_2,343.6
manmade,metal,aluminum_3,312.3
manmade,metal,aluminum_foil_1,360.9
manmade,metal,black_matte_metal_1,316.8
manmade,metal,black_matte_metal_2,336.4
manmade,metal,corrugated_metal_1,360.9
manmade,metal,corrugated_metal_2,346.2
manmade,metal,corrugated_metal_3,315.6
manmade,metal,iron_plate_1,312.6
manmade,metal,polished_metal_1,360.9
manmade,metal,polished_metal_2,360.9
manmade,metal,semi_polshed_metal_1,335.2
manmade,metal,semi_polshed_metal_2,360.9
manmade,other,green_paint_1,294.4
manmade,other,posterboard_1,299.9
manmade,other,posterboard_2,301.1
manmade,other,posterboard_3,294.2
manmade,other,posterboard_4,295.3
manmade,other,roofing_rubber_1,326.8
manmade,other,roofing_rubber_2,319.6
manmade,other,silicon_rubber_1,323.6
manmade,other,silicon_rubber_2,329.4
manmade,other,silicon_rubber_3,284.9
manmade,other,styrofoam_1,338.7
manmade,other,tan_paint_1,290.6
manmade,textile,black_plastic_1,288.8
manmade,textile,black_plastic_2,303.5
manmade,textile,black_plastic_3,323.0
manmade,textile,black_plastic_4,325.2
manmade,textile,black_silt_screen_1,299.3
manmade,textile,black_silt_screen_2,319.0
manmade,textile,black_silt_screen_dull_1,297.6
manmade,textile,black_silt_screen_shiny_1,302.7
manmade,textile,black_speaker_cloth_1,307.0
manmade,textile,blue_tarp_1,317.8
manmade,textile,blue_tarp_2,310.5
manmade,textile,blue_tarp_3,360.9
manmade,textile,blue_tarp_dew_1,293.9
manmade,textile,burlap_1,299.8
manmade,textile,camo_canvas_1,317.8
manmade,textile,camo_canvas_2,308.8
manmade,textile,fall_woodland_camo_1,299.0
manmade,textile,fall_woodland_camo_2,299.5
manmade,textile,green_canvas_1,311.1
manmade,textile,green_canvas_2,307.7
manmade,textile,green_cotton_1,285.0
manmade,textile,green_kevlar_1,285.3
manmade,textile,green_nylon_1,280.5
manmade,textile,nylon_poncho_1,312.1
manmade,textile,nylon_poncho_2,309.5
manmade,textile,tyvek_1,299.1
manmade,textile,white_drop_cloth_1,323.8
manmade,textile,white_drop_cloth_2,306.0
manmade,textile,white_drop_cloth_3,360.9
manmade,textile,white_drop_cloth_4,360.9
manmade,textile,white_drop_cloth_5,360.9
manmade,textile,white_polyester_1,308.0
manmade,textile,white_polyester_2,306.3
manmade,textile,white_polyester_3,297.2
manmade,textile,woven_monofilament_netting_1,300.8
manmade,textile,yellow_canvas_1,299.8
manmade,wood,plywood_1,308.9
manmade,wood,plywood_2,308.9
natural,geologic,anthracite_coal_1,318.9
natural,geologic,bituminous_coal_1,315.4
natural,geologic,concrete_1,308.7
natural,geologic,concrete_2,305.5
natural,geologic,dolomite_1,300.2
natural,geologic,dolomitic_limestone_1,280.7
natural,geologic,dolomitic_limestone_2,360.9
natural,geologic,lignite_coal_1,312.1
natural,geologic,limestone_1,312.3
natural,geologic,marble_chips_1,305.7
natural,geologic,marble_chips_2,300.6
natural,geologic,marble_chips_3,297.9
natural,geologic,quartzite_1,312.4
natural,geologic,sub_bituminous_coal_1,328.1
natural,other,human_skin_1,308.0
natural,other,ice_water_1,271.7
natural,other,ice_water_2,271.2
natural,other,water_1,297.2
natural,soil,background_soil_1,310.7
natural,soil,background_soil_2,300.3
natural,soil,background_soil_dew_1,294.3
natural,soil,background_soil_wet_1,296.6
natural,soil,coarse_sand_1,319.2
natural,soil,coarse_sand_oil_1,323.2
natural,soil,fine_sand_1,317.4
natural,soil,fine_sand_oil_1,321.0
natural,soil,fine_silt_1,320.0
natural,soil,gravel_1,325.2
natural,soil,gravel_2,315.0
natural,soil,gravel_3,319.6
natural,soil,loose_road_1,312.1
natural,soil,loose_road_2,313.6
natural,soil,play_sand_1,313.6
natural,soil,play_sand_2,315.5
natural,soil,play_sand_3,309.8
natural,soil,play_sand_4,302.4
natural,soil,playa_1,288.3
natural,soil,playa_2,293.2
natural,soil,playa_3,296.1
natural,soil,playa_4,298.2
natural,soil,quartz_sand_1,360.9
natural,soil,road_1,332.2
natural,soil,road_2,312.7
natural,soil,road_3,310.3
natural,soil,road_4,298.5
natural,soil,road_5,306.8
natural,soil,road_6,309.8
natural,soil,road_7,306.7
natural,soil,sand_2,328.1
natural,soil,sand_3,312.2
natural,soil,sand_4,312.4
natural,soil,tuft_fresh_1,299.4
natural,soil,tuft_weathered_1,300.2
natural,soils,sand_1,311.8
natural,vegetation,bush_1,307.2
natural,vegetation,canopy_debris_1,360.9
natural,vegetation,canopy_debris_dew_1,360.9
natural,vegetation,grass_1,324.3
natural,vegetation,grass_dew_1,295.8
natural,vegetation,ironwood_needles_1,296.9
natural,vegetation,plants_1,360.9
natural,vegetation,plants_dew_1,294.3
natural,vegetation,waxy_leaf_1,299.0
